2.990,4.370,0.050,4.080
4.370,4.170,4.080,4.370
4.170,3.790,4.370,4.020
3.790,3.570,4.020,3.690
3.570,3.450,3.690,3.540
3.450,3.470,3.540,3.340
3.470,2.870,3.340,3.060
2.870,0.000,3.060,3.120
0.000,0.130,3.120,1.830
0.130,1.210,1.830,2.580
1.210,-0.460,2.580,1.300
-0.100,-0.230,-0.140,-0.230
-0.230,-0.270,-0.230,-0.160
-0.270,0.000,-0.160,-0.030
0.000,-0.010,-0.030,0.010
-0.010,-0.310,0.010,-0.010
-0.310,-0.600,-0.010,0.020
-0.600,0.020,0.020,-0.010
0.020,-0.180,-0.010,-0.270
0.050,4.080,0.130,-0.280
4.080,4.370,-0.280,4.430
4.370,4.020,4.430,2.770
4.020,3.690,2.770,1.100
3.690,3.540,1.100,3.930
3.540,3.340,3.930,3.130
3.340,3.060,3.130,3.040
3.060,3.120,3.040,3.050
3.120,1.830,3.050,3.160
1.830,2.580,3.160,2.770
2.580,1.300,2.770,1.120
-0.230,-0.160,-0.140,-0.090
-0.160,-0.030,-0.090,0.010
-0.030,0.010,0.010,0.000
0.010,-0.010,0.000,-0.070
-0.010,0.020,-0.070,0.000
0.020,-0.010,0.000,0.070
-0.280,4.430,0.240,0.150
4.430,2.770,0.150,-0.050
2.770,1.100,-0.050,-0.080
1.100,3.930,-0.080,1.100
3.930,3.130,1.100,3.960
3.130,3.040,3.960,3.040
3.040,3.050,3.040,2.970
3.050,3.160,2.970,2.900
3.160,2.770,2.900,1.760
2.770,1.120,1.760,0.030
-0.090,0.010,-0.170,-0.030
0.010,0.000,-0.030,-0.130
0.000,-0.070,-0.130,0.000
-0.070,0.000,0.000,0.070
0.150,-0.050,0.060,-0.020
-0.050,-0.080,-0.020,-0.110
-0.080,1.100,-0.110,-0.050
1.100,3.960,-0.050,0.650
3.960,3.040,0.650,3.060
3.040,2.970,3.060,3.120
2.970,2.900,3.120,2.620
2.900,1.760,2.620,1.490
-0.030,-0.130,-0.100,-0.050
-0.130,0.000,-0.050,-0.060
-0.050,0.650,-0.160,-0.630
0.650,3.060,-0.630,1.270
3.060,3.120,1.270,3.820
3.120,2.620,3.820,2.950
2.620,1.490,2.950,1.290
-0.630,1.270,-0.130,0.010
1.270,3.820,0.010,2.990
3.820,2.950,2.990,3.340
2.950,1.290,3.340,1.220
