計數,名稱,SS-ZZ,位置 X,位置 Y
1,GPCADFGD,3.58,175523.295,2537000.496
1,GPCADFGD,0.42,175483.295,2537020.496
1,GPCADFGD,1.60,175493.295,2537020.496
1,GPCADFGD,0.77,175483.295,2537030.496
1,GPCADFGD,2.13,175493.295,2537030.496
1,GPCADFGD,-0.02,175493.295,2537010.496
1,GPCADFGD,1.49,175483.295,2537310.496
1,GPCADFGD,3.08,175483.295,2537300.496
1,GPCADFGD,0.08,175483.295,2537010.496
1,GPCADFGD,0.22,175483.295,2537320.496
1,GPCADFGD,1.52,175493.295,2537040.496
1,GPCADFGD,1.24,175483.295,2537070.496
1,GPCADFGD,1.43,175493.295,2537070.496
1,GPCADFGD,1.35,175483.295,2537080.496
1,GPCADFGD,1.54,175493.295,2537080.496
1,GPCADFGD,1.27,175483.295,2537060.496
1,GPCADFGD,1.87,175493.295,2537050.496
1,GPCADFGD,0.91,175483.295,2537040.496
1,GPCADFGD,1.71,175493.295,2537060.496
1,GPCADFGD,0.83,175483.295,2537050.496
1,GPCADFGD,5.76,175483.295,2537170.496
1,GPCADFGD,5.70,175483.295,2537160.496
1,GPCADFGD,3.33,175483.295,2537190.496
1,GPCADFGD,4.23,175483.295,2537180.496
1,GPCADFGD,4.64,175483.295,2537150.496
1,GPCADFGD,3.87,175483.295,2537120.496
1,GPCADFGD,2.89,175483.295,2537110.496
1,GPCADFGD,4.55,175483.295,2537140.496
1,GPCADFGD,4.14,175483.295,2537130.496
1,GPCADFGD,1.71,175483.295,2537200.496
1,GPCADFGD,3.24,175483.295,2537270.496
1,GPCADFGD,3.19,175483.295,2537260.496
1,GPCADFGD,3.26,175483.295,2537290.496
1,GPCADFGD,3.27,175483.295,2537280.496
1,GPCADFGD,3.30,175483.295,2537250.496
1,GPCADFGD,0.17,175483.295,2537220.496
1,GPCADFGD,0.54,175483.295,2537210.496
1,GPCADFGD,3.19,175483.295,2537240.496
1,GPCADFGD,1.58,175483.295,2537230.496
1,GPCADFGD,1.49,175503.295,2537010.496
1,GPCADFGD,1.58,175503.295,2537000.496
1,GPCADFGD,2.02,175503.295,2537030.496
1,GPCADFGD,1.97,175503.295,2537020.496
1,GPCADFGD,0.17,175493.295,2537000.496
1,GPCADFGD,3.33,175493.295,2537290.496
1,GPCADFGD,3.30,175493.295,2537280.496
1,GPCADFGD,1.08,175493.295,2537310.496
1,GPCADFGD,2.85,175493.295,2537300.496
1,GPCADFGD,1.92,175503.295,2537040.496
1,GPCADFGD,3.77,175503.295,2537110.496
1,GPCADFGD,2.20,175503.295,2537100.496
1,GPCADFGD,4.61,175503.295,2537130.496
1,GPCADFGD,4.39,175503.295,2537120.496
1,GPCADFGD,1.87,175503.295,2537090.496
1,GPCADFGD,1.69,175503.295,2537060.496
1,GPCADFGD,1.80,175503.295,2537050.496
1,GPCADFGD,1.71,175503.295,2537080.496
1,GPCADFGD,1.61,175503.295,2537070.496
1,GPCADFGD,4.43,175493.295,2537150.496
1,GPCADFGD,4.55,175493.295,2537140.496
1,GPCADFGD,4.86,175493.295,2537170.496
1,GPCADFGD,4.71,175493.295,2537160.496
1,GPCADFGD,4.45,175493.295,2537130.496
1,GPCADFGD,2.17,175493.295,2537100.496
1,GPCADFGD,1.69,175493.295,2537090.496
1,GPCADFGD,4.01,175493.295,2537120.496
1,GPCADFGD,3.54,175493.295,2537110.496
1,GPCADFGD,3.97,175493.295,2537180.496
1,GPCADFGD,3.08,175493.295,2537250.496
1,GPCADFGD,3.19,175493.295,2537240.496
1,GPCADFGD,3.16,175493.295,2537270.496
1,GPCADFGD,3.04,175493.295,2537260.496
1,GPCADFGD,2.01,175493.295,2537230.496
1,GPCADFGD,2.84,175493.295,2537200.496
1,GPCADFGD,3.82,175493.295,2537190.496
1,GPCADFGD,0.34,175493.295,2537220.496
1,GPCADFGD,0.02,175493.295,2537210.496
1,GPCADFGD,3.09,175423.295,2537150.496
1,GPCADFGD,2.92,175353.295,2537170.496
1,GPCADFGD,2.34,175353.295,2537160.496
1,GPCADFGD,3.12,175353.295,2537190.496
1,GPCADFGD,3.24,175353.295,2537180.496
1,GPCADFGD,2.86,175353.295,2537150.496
1,GPCADFGD,1.68,175353.295,2537120.496
1,GPCADFGD,1.96,175353.295,2537110.496
1,GPCADFGD,1.56,175353.295,2537140.496
1,GPCADFGD,1.50,175353.295,2537130.496
1,GPCADFGD,2.69,175353.295,2537200.496
1,GPCADFGD,-0.41,175353.295,2537270.496
1,GPCADFGD,-0.40,175353.295,2537260.496
1,GPCADFGD,0.57,175353.295,2537290.496
1,GPCADFGD,-0.08,175353.295,2537280.496
1,GPCADFGD,-0.38,175353.295,2537250.496
1,GPCADFGD,-0.20,175353.295,2537220.496
1,GPCADFGD,0.24,175353.295,2537210.496
1,GPCADFGD,-0.07,175353.295,2537240.496
1,GPCADFGD,-0.23,175353.295,2537230.496
1,GPCADFGD,0.22,175343.295,2537290.496
1,GPCADFGD,-0.35,175343.295,2537280.496
1,GPCADFGD,1.42,175343.295,2537310.496
1,GPCADFGD,0.51,175343.295,2537300.496
1,GPCADFGD,-0.27,175343.295,2537270.496
1,GPCADFGD,-0.50,175343.295,2537240.496
1,GPCADFGD,-1.37,175333.295,2537230.496
1,GPCADFGD,-0.35,175343.295,2537260.496
1,GPCADFGD,-0.41,175343.295,2537250.496
1,GPCADFGD,2.49,175343.295,2537320.496
1,GPCADFGD,-0.38,175343.295,2537080.496
1,GPCADFGD,-0.28,175353.295,2537080.496
1,GPCADFGD,1.53,175353.295,2537100.496
1,GPCADFGD,1.19,175353.295,2537090.496
1,GPCADFGD,0.01,175353.295,2537070.496
1,GPCADFGD,3.06,175343.295,2537340.496
1,GPCADFGD,2.93,175343.295,2537330.496
1,GPCADFGD,0.00,175343.295,2537070.496
1,GPCADFGD,1.83,175343.295,2537350.496
1,GPCADFGD,-0.41,175363.295,2537260.496
1,GPCADFGD,-0.48,175363.295,2537250.496
1,GPCADFGD,0.35,175363.295,2537280.496
1,GPCADFGD,-0.19,175363.295,2537270.496
1,GPCADFGD,-0.33,175363.295,2537240.496
1,GPCADFGD,0.26,175363.295,2537210.496
1,GPCADFGD,3.13,175363.295,2537200.496
1,GPCADFGD,-0.21,175363.295,2537230.496
1,GPCADFGD,-0.09,175363.295,2537220.496
1,GPCADFGD,1.64,175363.295,2537290.496
1,GPCADFGD,-0.16,175373.295,2537060.496
1,GPCADFGD,0.90,175363.295,2537060.496
1,GPCADFGD,1.00,175373.295,2537080.496
1,GPCADFGD,0.02,175373.295,2537070.496
1,GPCADFGD,3.04,175363.295,2537340.496
1,GPCADFGD,4.04,175363.295,2537310.496
1,GPCADFGD,3.98,175363.295,2537300.496
1,GPCADFGD,3.40,175363.295,2537330.496
1,GPCADFGD,3.67,175363.295,2537320.496
1,GPCADFGD,-0.20,175363.295,2537070.496
1,GPCADFGD,2.41,175353.295,2537350.496
1,GPCADFGD,1.97,175363.295,2537090.496
1,GPCADFGD,0.45,175363.295,2537080.496
1,GPCADFGD,3.14,175353.295,2537340.496
1,GPCADFGD,3.22,175353.295,2537310.496
1,GPCADFGD,2.03,175353.295,2537300.496
1,GPCADFGD,3.28,175353.295,2537330.496
1,GPCADFGD,3.51,175353.295,2537320.496
1,GPCADFGD,2.27,175363.295,2537100.496
1,GPCADFGD,3.02,175363.295,2537170.496
1,GPCADFGD,2.69,175363.295,2537160.496
1,GPCADFGD,3.40,175363.295,2537190.496
1,GPCADFGD,3.25,175363.295,2537180.496
1,GPCADFGD,2.34,175363.295,2537150.496
1,GPCADFGD,2.43,175363.295,2537120.496
1,GPCADFGD,2.35,175363.295,2537110.496
1,GPCADFGD,2.24,175363.295,2537140.496
1,GPCADFGD,2.38,175363.295,2537130.496
1,GPCADFGD,0.60,175323.295,2537100.496
1,GPCADFGD,0.29,175333.295,2537100.496
1,GPCADFGD,-0.48,175323.295,2537110.496
1,GPCADFGD,-1.02,175333.295,2537110.496
1,GPCADFGD,4.09,175333.295,2537090.496
1,GPCADFGD,0.01,175323.295,2537340.496
1,GPCADFGD,-0.39,175323.295,2537330.496
1,GPCADFGD,2.65,175323.295,2537090.496
1,GPCADFGD,-0.06,175323.295,2537350.496
1,GPCADFGD,-1.06,175333.295,2537120.496
1,GPCADFGD,0.37,175323.295,2537150.496
1,GPCADFGD,-0.18,175333.295,2537150.496
1,GPCADFGD,0.39,175323.295,2537160.496
1,GPCADFGD,-0.42,175333.295,2537160.496
1,GPCADFGD,0.75,175323.295,2537140.496
1,GPCADFGD,-0.41,175333.295,2537130.496
1,GPCADFGD,-0.69,175323.295,2537120.496
1,GPCADFGD,-0.06,175333.295,2537140.496
1,GPCADFGD,0.19,175323.295,2537130.496
1,GPCADFGD,0.54,175303.295,2537320.496
1,GPCADFGD,-1.43,175293.295,2537360.496
1,GPCADFGD,-1.14,175313.295,2537330.496
1,GPCADFGD,-1.33,175313.295,2537320.496
1,GPCADFGD,-1.33,175303.295,2537360.496
1,GPCADFGD,-0.78,175303.295,2537340.496
1,GPCADFGD,0.70,175293.295,2537340.496
1,GPCADFGD,-0.17,175293.295,2537350.496
1,GPCADFGD,-1.53,175303.295,2537350.496
1,GPCADFGD,-0.28,175303.295,2537330.496
1,GPCADFGD,-1.41,175323.295,2537310.496
1,GPCADFGD,-0.78,175313.295,2537300.496
1,GPCADFGD,-0.88,175323.295,2537320.496
1,GPCADFGD,-1.90,175313.295,2537310.496
1,GPCADFGD,-0.49,175323.295,2537300.496
1,GPCADFGD,-0.41,175313.295,2537350.496
1,GPCADFGD,-0.63,175313.295,2537340.496
1,GPCADFGD,-0.77,175323.295,2537290.496
1,GPCADFGD,-0.29,175313.295,2537290.496
1,GPCADFGD,2.17,175343.295,2537170.496
1,GPCADFGD,2.03,175343.295,2537160.496
1,GPCADFGD,2.84,175343.295,2537180.496
1,GPCADFGD,-0.25,175333.295,2537170.496
1,GPCADFGD,2.56,175343.295,2537150.496
1,GPCADFGD,0.36,175343.295,2537120.496
1,GPCADFGD,1.83,175343.295,2537110.496
1,GPCADFGD,1.86,175343.295,2537140.496
1,GPCADFGD,1.14,175343.295,2537130.496
1,GPCADFGD,-0.08,175333.295,2537180.496
1,GPCADFGD,-0.29,175343.295,2537220.496
1,GPCADFGD,-1.59,175333.295,2537210.496
1,GPCADFGD,-0.34,175343.295,2537230.496
1,GPCADFGD,-1.19,175333.295,2537220.496
1,GPCADFGD,0.14,175343.295,2537210.496
1,GPCADFGD,0.24,175333.295,2537190.496
1,GPCADFGD,2.57,175343.295,2537190.496
1,GPCADFGD,0.07,175333.295,2537200.496
1,GPCADFGD,2.43,175343.295,2537200.496
1,GPCADFGD,-0.21,175333.295,2537270.496
1,GPCADFGD,-0.80,175323.295,2537260.496
1,GPCADFGD,-0.17,175333.295,2537280.496
1,GPCADFGD,-1.21,175323.295,2537270.496
1,GPCADFGD,-0.49,175333.295,2537260.496
1,GPCADFGD,-1.47,175333.295,2537240.496
1,GPCADFGD,-0.86,175323.295,2537240.496
1,GPCADFGD,-0.87,175323.295,2537250.496
1,GPCADFGD,-0.97,175333.295,2537250.496
1,GPCADFGD,-1.47,175323.295,2537280.496
1,GPCADFGD,0.92,175333.295,2537350.496
1,GPCADFGD,1.57,175333.295,2537340.496
1,GPCADFGD,0.93,175343.295,2537100.496
1,GPCADFGD,1.70,175343.295,2537090.496
1,GPCADFGD,0.73,175333.295,2537330.496
1,GPCADFGD,0.12,175333.295,2537300.496
1,GPCADFGD,0.00,175333.295,2537290.496
1,GPCADFGD,-0.05,175333.295,2537320.496
1,GPCADFGD,-0.11,175333.295,2537310.496
1,GPCADFGD,1.90,175403.295,2537230.496
1,GPCADFGD,2.94,175403.295,2537220.496
1,GPCADFGD,-0.10,175403.295,2537250.496
1,GPCADFGD,0.17,175403.295,2537240.496
1,GPCADFGD,2.88,175403.295,2537210.496
1,GPCADFGD,2.92,175403.295,2537180.496
1,GPCADFGD,2.77,175403.295,2537170.496
1,GPCADFGD,2.54,175403.295,2537200.496
1,GPCADFGD,2.86,175403.295,2537190.496
1,GPCADFGD,0.10,175403.295,2537260.496
1,GPCADFGD,2.01,175403.295,2537330.496
1,GPCADFGD,3.21,175403.295,2537320.496
1,GPCADFGD,-0.92,175403.295,2537350.496
1,GPCADFGD,2.03,175403.295,2537340.496
1,GPCADFGD,3.60,175403.295,2537310.496
1,GPCADFGD,2.04,175403.295,2537280.496
1,GPCADFGD,1.12,175403.295,2537270.496
1,GPCADFGD,3.10,175403.295,2537300.496
1,GPCADFGD,2.32,175403.295,2537290.496
1,GPCADFGD,3.68,175393.295,2537330.496
1,GPCADFGD,3.70,175393.295,2537320.496
1,GPCADFGD,0.15,175403.295,2537060.496
1,GPCADFGD,3.17,175393.295,2537340.496
1,GPCADFGD,3.67,175393.295,2537310.496
1,GPCADFGD,0.90,175393.295,2537280.496
1,GPCADFGD,0.34,175393.295,2537270.496
1,GPCADFGD,3.26,175393.295,2537300.496
1,GPCADFGD,1.74,175393.295,2537290.496
1,GPCADFGD,1.95,175403.295,2537070.496
1,GPCADFGD,2.72,175403.295,2537140.496
1,GPCADFGD,2.66,175403.295,2537130.496
1,GPCADFGD,2.74,175403.295,2537160.496
1,GPCADFGD,2.70,175403.295,2537150.496
1,GPCADFGD,2.54,175403.295,2537120.496
1,GPCADFGD,1.83,175403.295,2537090.496
1,GPCADFGD,2.12,175403.295,2537080.496
1,GPCADFGD,2.22,175403.295,2537110.496
1,GPCADFGD,2.11,175403.295,2537100.496
1,GPCADFGD,3.57,175413.295,2537300.496
1,GPCADFGD,3.52,175413.295,2537290.496
1,GPCADFGD,2.61,175413.295,2537320.496
1,GPCADFGD,3.39,175413.295,2537310.496
1,GPCADFGD,3.47,175413.295,2537280.496
1,GPCADFGD,0.12,175413.295,2537250.496
1,GPCADFGD,0.11,175413.295,2537240.496
1,GPCADFGD,2.12,175413.295,2537270.496
1,GPCADFGD,-0.06,175413.295,2537260.496
1,GPCADFGD,-0.92,175413.295,2537330.496
1,GPCADFGD,2.45,175423.295,2537120.496
1,GPCADFGD,2.16,175423.295,2537110.496
1,GPCADFGD,2.73,175423.295,2537140.496
1,GPCADFGD,2.64,175423.295,2537130.496
1,GPCADFGD,1.86,175423.295,2537100.496
1,GPCADFGD,0.19,175423.295,2537070.496
1,GPCADFGD,0.00,175423.295,2537060.496
1,GPCADFGD,1.60,175423.295,2537090.496
1,GPCADFGD,0.71,175423.295,2537080.496
1,GPCADFGD,2.19,175413.295,2537110.496
1,GPCADFGD,1.97,175413.295,2537100.496
1,GPCADFGD,2.67,175413.295,2537130.496
1,GPCADFGD,2.49,175413.295,2537120.496
1,GPCADFGD,1.83,175413.295,2537090.496
1,GPCADFGD,0.00,175413.295,2537060.496
1,GPCADFGD,-0.03,175393.295,2537350.496
1,GPCADFGD,1.13,175413.295,2537080.496
1,GPCADFGD,1.60,175413.295,2537070.496
1,GPCADFGD,2.74,175413.295,2537140.496
1,GPCADFGD,3.00,175413.295,2537210.496
1,GPCADFGD,2.85,175413.295,2537200.496
1,GPCADFGD,1.67,175413.295,2537230.496
1,GPCADFGD,3.13,175413.295,2537220.496
1,GPCADFGD,2.88,175413.295,2537190.496
1,GPCADFGD,2.67,175413.295,2537160.496
1,GPCADFGD,2.67,175413.295,2537150.496
1,GPCADFGD,2.97,175413.295,2537180.496
1,GPCADFGD,2.69,175413.295,2537170.496
1,GPCADFGD,2.54,175373.295,2537340.496
1,GPCADFGD,3.20,175373.295,2537330.496
1,GPCADFGD,0.54,175383.295,2537070.496
1,GPCADFGD,-0.14,175383.295,2537060.496
1,GPCADFGD,3.82,175373.295,2537320.496
1,GPCADFGD,2.14,175373.295,2537290.496
1,GPCADFGD,0.19,175373.295,2537280.496
1,GPCADFGD,3.80,175373.295,2537310.496
1,GPCADFGD,3.80,175373.295,2537300.496
1,GPCADFGD,1.08,175383.295,2537080.496
1,GPCADFGD,2.72,175383.295,2537150.496
1,GPCADFGD,2.67,175383.295,2537140.496
1,GPCADFGD,2.90,175383.295,2537170.496
1,GPCADFGD,2.78,175383.295,2537160.496
1,GPCADFGD,2.59,175383.295,2537130.496
1,GPCADFGD,2.42,175383.295,2537100.496
1,GPCADFGD,2.13,175383.295,2537090.496
1,GPCADFGD,2.52,175383.295,2537120.496
1,GPCADFGD,2.42,175383.295,2537110.496
1,GPCADFGD,2.69,175373.295,2537150.496
