計數,名稱,SS-ZZ,位置 X,位置 Y
1,GPCADFGD,2.47,175240.774,2537358.690
1,GPCADFGD,2.10,175240.774,2537348.690
1,GPCADFGD,2.49,175240.774,2537338.690
1,GPCADFGD,3.02,175240.774,2537298.690
1,GPCADFGD,3.54,175240.774,2537258.690
1,GPCADFGD,3.93,175240.774,2537248.690
1,GPCADFGD,1.10,175240.774,2537238.690
1,GPCADFGD,3.30,175240.774,2537288.690
1,GPCADFGD,3.37,175240.774,2537278.690
1,GPCADFGD,3.45,175240.774,2537268.690
1,GPCADFGD,0.09,175240.774,2537368.690
1,GPCADFGD,-0.63,175250.774,2537218.690
1,GPCADFGD,-0.12,175240.774,2537448.690
1,GPCADFGD,-0.12,175240.774,2537448.690
1,GPCADFGD,0.65,175250.774,2537228.690
1,GPCADFGD,-0.05,175240.774,2537228.690
1,GPCADFGD,-0.16,175240.774,2537218.690
1,GPCADFGD,0.23,175240.774,2537438.690
1,GPCADFGD,-0.07,175240.774,2537398.690
1,GPCADFGD,0.00,175240.774,2537388.690
1,GPCADFGD,-0.07,175240.774,2537378.690
1,GPCADFGD,-0.06,175240.774,2537428.690
1,GPCADFGD,-0.12,175240.774,2537418.690
1,GPCADFGD,-0.18,175240.774,2537408.690
1,GPCADFGD,-0.08,175230.774,2537238.690
1,GPCADFGD,2.34,175230.774,2537328.690
1,GPCADFGD,2.50,175230.774,2537318.690
1,GPCADFGD,3.15,175230.774,2537308.690
1,GPCADFGD,2.03,175230.774,2537358.690
1,GPCADFGD,2.05,175230.774,2537348.690
1,GPCADFGD,2.08,175230.774,2537338.690
1,GPCADFGD,3.27,175230.774,2537298.690
1,GPCADFGD,3.69,175230.774,2537258.690
1,GPCADFGD,1.10,175230.774,2537248.690
1,GPCADFGD,-0.05,175220.774,2537238.690
1,GPCADFGD,3.35,175230.774,2537288.690
1,GPCADFGD,3.48,175230.774,2537278.690
1,GPCADFGD,3.57,175230.774,2537268.690
1,GPCADFGD,1.02,175230.774,2537368.690
1,GPCADFGD,0.00,175220.774,2537448.690
1,GPCADFGD,0.00,175220.774,2537448.690
1,GPCADFGD,0.00,175230.774,2537448.690
1,GPCADFGD,-0.11,175230.774,2537228.690
1,GPCADFGD,-0.05,175240.774,2537228.690
1,GPCADFGD,0.00,175230.774,2537448.690
1,GPCADFGD,0.11,175230.774,2537438.690
1,GPCADFGD,0.01,175230.774,2537398.690
1,GPCADFGD,-0.05,175230.774,2537388.690
1,GPCADFGD,0.73,175230.774,2537378.690
1,GPCADFGD,0.21,175230.774,2537428.690
1,GPCADFGD,0.08,175230.774,2537418.690
1,GPCADFGD,0.02,175230.774,2537408.690
